feed_url,domain,feed_title,current_category,category,source_type
https://www.abortretry.fail/feed,abortretry.fail,abortretry.fail,Engineering,后端,个人博客
https://anildash.com/feed.xml,anildash.com,anildash.com,Culture,商业,个人博客
http://antirez.com/rss,antirez.com,antirez.com,Systems,系统,个人博客
https://aresluna.org/main.rss,aresluna.org,aresluna.org,Engineering,后端,个人博客
https://beej.us/blog/rss.xml,beej.us,beej.us,Web,前端,个人博客
https://bernsteinbear.com/feed.xml,bernsteinbear.com,bernsteinbear.com,Systems,系统,个人博客
https://berthub.eu/articles/index.xml,berthub.eu,berthub.eu,Security,安全,研究机构
https://blog.jim-nielsen.com/feed.xml,blog.jim-nielsen.com,blog.jim-nielsen.com,Design,设计,个人博客
https://blog.pixelmelt.dev/rss/,blog.pixelmelt.dev,blog.pixelmelt.dev,Web,前端,个人博客
https://bogdanthegeek.github.io/blog/index.xml,bogdanthegeek.github.io,bogdanthegeek.github.io,Engineering,后端,个人博客
https://borretti.me/feed.xml,borretti.me,borretti.me,Engineering,后端,个人博客
https://brutecat.com/rss.xml,brutecat.com,brutecat.com,Engineering,后端,个人博客
https://buttondown.com/hillelwayne/rss,buttondown.com,buttondown.com/hillelwayne,Engineering,后端,媒体
https://chadnauseam.com/rss.xml,chadnauseam.com,chadnauseam.com,Design,设计,个人博客
https://www.chiark.greenend.org.uk/~sgtatham/quasiblog/feed.xml,chiark.greenend.org.uk,chiark.greenend.org.uk/~sgtatham,Engineering,后端,个人博客
https://computer.rip/rss.xml,computer.rip,computer.rip,Systems,系统,个人博客
https://www.construction-physics.com/feed,construction-physics.com,construction-physics.com,Business,商业,研究机构
https://danielchasehooper.com/feed.xml,danielchasehooper.com,danielchasehooper.com,Design,设计,个人博客
https://danieldelaney.net/feed,danieldelaney.net,danieldelaney.net,Culture,商业,个人博客
https://danielwirtz.com/rss.xml,danielwirtz.com,danielwirtz.com,AI/ML,AI,个人博客
https://daringfireball.net/feeds/main,daringfireball.net,daringfireball.net,Business,商业,媒体
https://www.theatlantic.com/feed/author/derek-thompson/,theatlantic.com,derekthompson.org,Business,商业,媒体
https://devblogs.microsoft.com/oldnewthing/feed,devblogs.microsoft.com,devblogs.microsoft.com/oldnewthing,Systems,系统,公司技术博客
https://dfarq.homeip.net/feed/,dfarq.homeip.net,dfarq.homeip.net,Web,前端,个人博客
https://www.downtowndougbrown.com/feed/,downtowndougbrown.com,downtowndougbrown.com,Engineering,后端,个人博客
https://www.dwarkeshpatel.com/feed,dwarkeshpatel.com,dwarkesh.com,Culture,商业,媒体
https://dynomight.net/feed.xml,dynomight.net,dynomight.net,Science,科学,研究机构
https://eli.thegreenplace.net/feeds/all.atom.xml,eli.thegreenplace.net,eli.thegreenplace.net,Engineering,后端,研究机构
https://entropicthoughts.com/feed.xml,entropicthoughts.com,entropicthoughts.com,Science,科学,研究机构
https://ericmigi.com/rss.xml,ericmigi.com,ericmigi.com,Engineering,后端,个人博客
https://evanhahn.com/feed.xml,evanhahn.com,evanhahn.com,Web,前端,个人博客
https://www.experimental-history.com/feed,experimental-history.com,experimental-history.com,Science,科学,研究机构
https://fabiensanglard.net/rss.xml,fabiensanglard.net,fabiensanglard.net,Systems,系统,个人博客
https://www.filfre.net/feed/,filfre.net,filfre.net,Design,设计,个人博客
https://garymarcus.substack.com/feed,garymarcus.substack.com,garymarcus.substack.com,AI/ML,AI,媒体
https://www.geoffreylitt.com/feed.xml,geoffreylitt.com,geoffreylitt.com,Culture,商业,个人博客
https://geohot.github.io/blog/feed.xml,geohot.github.io,geohot.github.io,AI/ML,AI,个人博客
https://gilesthomas.com/feed/rss.xml,gilesthomas.com,gilesthomas.com,Productivity,产品,个人博客
https://grantslatton.com/rss.xml,grantslatton.com,grantslatton.com,Engineering,后端,个人博客
https://gwern.substack.com/feed,gwern.substack.com,gwern.net,Science,科学,媒体
https://herman.bearblog.dev/feed/,herman.bearblog.dev,herman.bearblog.dev,Web,前端,个人博客
https://hey.paris/index.xml,hey.paris,hey.paris,Business,商业,个人博客
https://hugotunius.se/feed.xml,hugotunius.se,hugotunius.se,Engineering,后端,个人博客
https://idiallo.com/feed.rss,idiallo.com,idiallo.com,Engineering,后端,个人博客
https://it-notes.dragas.net/feed/,it-notes.dragas.net,it-notes.dragas.net,Systems,系统,个人博客
https://jayd.ml/feed.xml,jayd.ml,jayd.ml,Science,科学,个人博客
https://www.jeffgeerling.com/blog.xml,jeffgeerling.com,jeffgeerling.com,Engineering,后端,个人博客
https://joanwestenberg.com/rss,joanwestenberg.com,joanwestenberg.com,Culture,商业,个人博客
https://www.johndcook.com/blog/feed/,johndcook.com,johndcook.com,Science,科学,研究机构
https://jyn.dev/atom.xml,jyn.dev,jyn.dev,Web,前端,个人博客
https://keygen.sh/blog/feed.xml,keygen.sh,keygen.sh,Engineering,后端,个人博客
https://krebsonsecurity.com/feed/,krebsonsecurity.com,krebsonsecurity.com,Security,安全,媒体
https://lcamtuf.substack.com/feed,lcamtuf.substack.com,lcamtuf.substack.com,Security,安全,媒体
https://lucumr.pocoo.org/feed.atom,lucumr.pocoo.org,lucumr.pocoo.org,Engineering,后端,个人博客
https://martinalderson.com/feed.xml,martinalderson.com,martinalderson.com,Productivity,产品,个人博客
https://matduggan.com/rss/,matduggan.com,matduggan.com,Business,商业,个人博客
https://matklad.github.io/feed.xml,matklad.github.io,matklad.github.io,Engineering,后端,个人博客
https://maurycyz.com/index.xml,maurycyz.com,maurycyz.com,Culture,商业,个人博客
https://micahflee.com/feed/,micahflee.com,micahflee.com,Security,安全,个人博客
https://michael.stapelberg.ch/feed.xml,michael.stapelberg.ch,michael.stapelberg.ch,Systems,系统,个人博客
https://blog.miguelgrinberg.com/feed,blog.miguelgrinberg.com,miguelgrinberg.com,Web,前端,个人博客
https://minimaxir.com/index.xml,minimaxir.com,minimaxir.com,AI/ML,AI,个人博客
https://mitchellh.com/feed.xml,mitchellh.com,mitchellh.com,Engineering,后端,个人博客
https://mjg59.dreamwidth.org/data/rss,mjg59.dreamwidth.org,mjg59.dreamwidth.org,Security,安全,个人博客
https://nesbitt.io/feed.xml,nesbitt.io,nesbitt.io,Web,前端,个人博客
https://oldvcr.blogspot.com/feeds/posts/default,oldvcr.blogspot.com,oldvcr.blogspot.com,Engineering,后端,个人博客
https://overreacted.io/rss.xml,overreacted.io,overreacted.io,Web,前端,个人博客
http://www.aaronsw.com/2002/feeds/pgessays.rss,aaronsw.com,paulgraham.com,Business,商业,个人博客
https://philiplaine.com/index.xml,philiplaine.com,philiplaine.com,Engineering,后端,个人博客
https://pluralistic.net/feed/,pluralistic.net,pluralistic.net,Culture,商业,个人博客
https://rachelbythebay.com/w/atom.xml,rachelbythebay.com,rachelbythebay.com,Engineering,后端,个人博客
https://rakhim.exotext.com/rss.xml,rakhim.exotext.com,rakhim.exotext.com,Engineering,后端,个人博客
https://refactoringenglish.com/index.xml,refactoringenglish.com,refactoringenglish.com,Productivity,产品,个人博客
https://www.righto.com/feeds/posts/default,righto.com,righto.com,Systems,系统,个人博客
https://www.seangoedecke.com/rss.xml,seangoedecke.com,seangoedecke.com,Productivity,产品,个人博客
https://shkspr.mobi/blog/feed/,shkspr.mobi,shkspr.mobi,Web,前端,个人博客
https://simone.org/feed/,simone.org,simone.org,Culture,商业,个人博客
https://simonwillison.net/atom/everything/,simonwillison.net,simonwillison.net,AI/ML,AI,个人博客
https://skyfall.dev/rss.xml,skyfall.dev,skyfall.dev,Design,设计,个人博客
https://steveblank.com/feed/,steveblank.com,steveblank.com,Business,商业,个人博客
https://susam.net/feed.xml,susam.net,susam.net,Engineering,后端,个人博客
https://feed.tedium.co/,feed.tedium.co,tedium.co,Culture,商业,个人博客
https://www.tedunangst.com/flak/rss,tedunangst.com,tedunangst.com,Engineering,后端,个人博客
https://terriblesoftware.org/feed/,terriblesoftware.org,terriblesoftware.org,Culture,商业,个人博客
https://timsh.org/rss/,timsh.org,timsh.org,Engineering,后端,个人博客
https://tomrenner.com/index.xml,tomrenner.com,tomrenner.com,Engineering,后端,个人博客
https://www.troyhunt.com/rss/,troyhunt.com,troyhunt.com,Security,安全,个人博客
https://utcc.utoronto.ca/~cks/space/blog/?atom,utcc.utoronto.ca,utcc.utoronto.ca/~cks,Systems,系统,研究机构
https://www.wheresyoured.at/rss/,wheresyoured.at,wheresyoured.at,Business,商业,媒体
https://worksonmymachine.substack.com/feed,worksonmymachine.substack.com,worksonmymachine.substack.com,AI/ML,AI,媒体
https://xania.org/feed,xania.org,xania.org,Engineering,后端,个人博客
https://xeiaso.net/blog.rss,xeiaso.net,xeiaso.net,Engineering,后端,个人博客
